query_id,query,hop_stratum,predicted_hop,p_1_hop,p_2_hop,p_3plus_hop,recommended_pipeline
0,"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,2-hop,0.3109450880891742,0.6722313643644466,0.01682354754637907,graphrag
1,"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,1-hop,0.6064205243965882,0.3883212288654279,0.005258246737983827,vanilla
2,Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,1-hop,0.6973634036292955,0.015304128023865509,0.28733246834683907,vanilla
3,How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,1-hop,0.6424105376685912,0.3550928272406191,0.002496635090789753,vanilla
4,What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,2-hop,0.44559883947565604,0.5477090978708379,0.006692062653505945,graphrag
5,Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,1-hop,0.8401953868902269,0.046209814452998245,0.11359479865677495,vanilla
6,Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,1-hop,0.7048630529912009,0.005384047364115949,0.28975289964468315,vanilla
7,"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,1-hop,0.6992737045391637,0.2998763425629403,0.000849952897895901,vanilla
8,What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,1-hop,0.591303871485198,0.4043388586431811,0.004357269871620832,vanilla
9,How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,2-hop,0.43418202156729446,0.5462681659845494,0.019549812448156154,graphrag
10,Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,1-hop,0.8888715210155239,0.029493295896985447,0.08163518308749061,vanilla
11,"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,1-hop,0.5719818501443652,0.42200818072191426,0.006009969133720601,vanilla
12,"How is command traffic from the ground station routed to the flight control computer, and what validation must occur before use?",1-hop,2-hop,0.14847971838804033,0.7592041237037321,0.09231615790822738,graphrag
13,Which payload-bus implementation and platform-specific bandwidths support the EOIR’s STANAG 4586 control/status and RTP/RTSP video interface to the mission computer?,1-hop,1-hop,0.7870587653982448,0.0635085522694196,0.14943268233233556,vanilla
14,"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",1-hop,1-hop,0.9104944279145557,0.0499514652949127,0.03955410679053159,vanilla
15,"How does navigation fusion respond to inertial/GPS spoof indications, and which INS spoof-detection criteria drive rejection of suspect GPS updates?",1-hop,1-hop,0.7027629507331937,0.06092137600083417,0.23631567326597203,vanilla
16,Which actuator-command saturation limits and rates must the anti-windup logic use to prevent integrator growth when surface commands are clamped?,1-hop,1-hop,0.754038786608076,0.06971590960236883,0.1762453037895552,vanilla
17,"For autonomous mode engagement exceptions, what authentication mechanism must operator engagement requests use on the control data links?",1-hop,1-hop,0.5336271575988735,0.4506246839936178,0.01574815840750864,vanilla
18,Which system-level security requirement is realized by the flight control computer’s command validation and rejection of invalid GCS commands?,1-hop,1-hop,0.5138624807819642,0.0169445703672132,0.4691929488508226,vanilla
19,Which HMI requirement references the flight-control requirement for joystick deadband and roll/pitch rate limiting on direct manual control?,1-hop,3+-hop,0.3858811217129517,0.010692936846165681,0.6034259414408826,agentic-graph
20,Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,1-hop,1-hop,0.881903383258,0.01983456023562388,0.09826205650637605,vanilla
21,What upstream navigation-state interface and update rate support the ground station’s real-time aircraft state display requirement?,1-hop,1-hop,0.7558721238700796,0.24096890437092844,0.003158971758991847,vanilla
22,"Which command-frame definition governs the GCS operator command interface, and what fields must that message include?",1-hop,1-hop,0.9373743945664669,0.03618548270397086,0.02644012272956216,vanilla
23,How is the SAR status telemetry publication to the mission computer aligned with the payload telemetry aggregation and downlink path?,1-hop,2-hop,0.31524541900675135,0.6719280364450327,0.012826544548215808,graphrag
24,Which payload command ID ranges must the PMC dispatch to each sensor or external store under the payload command routing table?,1-hop,1-hop,0.6646854334098962,0.0814047311574127,0.25390983543269113,vanilla
25,Which SAR status message fields and update rate provide the health input the built-in test function aggregates into the overall payload health report?,1-hop,1-hop,0.5861556939824909,0.14854523604760642,0.26529906996990255,vanilla
26,Which sensor safety interlocks must the SAR mode logic enforce before allowing transition from standby into any transmitting mode?,1-hop,1-hop,0.8207170879547364,0.05923397566963188,0.1200489363756317,vanilla
27,"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",1-hop,1-hop,0.8073270304068242,0.035953218047857775,0.15671975154531811,vanilla
28,"Which operator command categories must the fuel subsystem accept via the command/data link interface, and how are those commands routed?",1-hop,1-hop,0.6473255519590522,0.05075370224807093,0.30192074579287703,vanilla
29,Which flight-control cross-channel data link timing and integrity behavior must BIT monitor to satisfy CBIT consistency-check verification?,1-hop,1-hop,0.794704323529584,0.018661377198163964,0.18663429927225192,vanilla
30,"Which integration-rig HIL test verifies the backup GCS cold-standby switchover requirement, including two-minute recovery and retained control authority?",1-hop,1-hop,0.9167933880600657,0.02927050117777878,0.05393611076215545,vanilla
31,"Which flight-control initialization constraint governs the termination-mode full nose-down, throttle-cut command before subsequent recovery commands are rejected?",1-hop,1-hop,0.8154556892479242,0.026070313767883768,0.15847399698419193,vanilla
32,"For the Skyrunner-T1 test configuration, how is the FCC’s duplex single-LRU architecture derived from the platform-dependent independent-lane requirement?",1-hop,1-hop,0.5364109531275466,0.44377640890508574,0.019812637967367583,vanilla
33,"In linked mode, what ground-station command latency supports the command-data link’s 20 Hz command reception and downstream routing?",1-hop,1-hop,0.5341867497776567,0.4605099956757948,0.0053032545465484665,vanilla
34,What maintenance Ethernet port constraints and authentication conditions govern the FMS flight-plan upload/download interface?,1-hop,1-hop,0.8310540435962284,0.16700855436014947,0.0019374020436221993,vanilla
35,"Which interface power requirement defines the 50 ms ride-through capability, and which general requirement establishes the DO-160G Category Z interruption profile?",1-hop,1-hop,0.6957168749839121,0.07597568596600268,0.22830743905008502,vanilla
