query_id,query,hop_stratum,predicted_hop,p_1_hop,p_2_hop,p_3plus_hop,recommended_pipeline
0,"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,2-hop,0.38244343589720264,0.6139365618796041,0.0036200022231931365,graphrag
1,"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,1-hop,0.5620290668265584,0.4320322512713008,0.0059386819021409075,vanilla
2,Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,1-hop,1-hop,0.8505872043326231,0.010926208882652487,0.13848658678472434,vanilla
3,How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,1-hop,1-hop,0.6941674528486509,0.2995011786029267,0.006331368548422415,vanilla
4,What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,1-hop,2-hop,0.3841988122079583,0.6062900221486819,0.00951116564335986,graphrag
5,Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,1-hop,1-hop,0.8976290856878958,0.0913473589839811,0.0110235553281232,vanilla
6,Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,1-hop,1-hop,0.9133879613735068,0.004469422843702658,0.0821426157827906,vanilla
7,"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",1-hop,1-hop,0.6425087310517091,0.35700762612383197,0.0004836428244588847,vanilla
8,What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,1-hop,0.5962998549571809,0.3987650630159935,0.004935082026825626,vanilla
9,How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,1-hop,2-hop,0.34784944666333867,0.5126220135888652,0.1395285397477962,graphrag
10,Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,1-hop,1-hop,0.8786275339662675,0.015718347445172975,0.1056541185885596,vanilla
11,"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",1-hop,1-hop,0.5575063869907512,0.42674573639394237,0.01574787661530638,vanilla
