query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,citation_precision,citation_recall,citation_f1,retrieval_recall,context_precision,n_cited,n_gold,hop_count,stratum,is_cross_module
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,vanilla,local,none,0,10158,759,198,957,APM-023;FDR-030,FCC-050;FDR-030;APM-023;EPS-022;PWR-029,5,0,,,,,1.0,1.0,1.0,1.0,0.4,2,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic,local,none,0,25403,3732,482,4214,APM-023;EPS-011;EPS-020;EPS-005,EPS-011;EPS-022;EPS-020;EPS-005;EPS-015,5,3,continue,semantic,,,0.25,0.5,0.3333,0.0,0.0,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,local,none,0,18436,1939,291,2230,APM-023;APM-036;FDR-030;APM-030,FCC-050;FDR-030;APM-023;EPS-022;PWR-029;EPS-020;PWR-031;ENG-019;APM-020;APM-030;APM-036;BIT-029;EMS-008;EMS-032;EPS-011,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,agentic-graph,local,none,0,26554,5411,597,6008,APM-023;EPS-011;EPS-024;EPS-020;ICE-017,EPS-020;EPS-022;EPS-011;EPS-005;EPS-024;ICE-017;ICE-020;ICE-009;ICE-012;ICE-003,10,3,continue,semantic,,,0.2,0.5,0.2857,0.0,0.0,5,2,1,1-hop,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,adaptive,local,none,0,28223,3720,481,4201,EPS-011;EPS-005;EPS-020;EPS-022,EPS-020;EPS-022;EPS-011;EPS-005;EPS-015,5,3,continue,semantic,agentic,"default: agentic ReAct exploration (no specific signal; ids=0, mods=0, trace_kw=False, chain_ind=False, numeric=True)",0.0,0.0,0.0,0.0,0.0,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,vanilla,local,none,0,14245,854,304,1158,FMS-006;SEC-020;FMS-010;FMS-042,FMS-006;FMS-033;FMS-042;FMS-010;INS-048,5,0,,,,,0.5,1.0,0.6667,0.5,0.2,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic,local,none,0,21031,3573,365,3938,NAV-005;NAV-008;NAV-028;NAV-035;NAV-C5,NAV-008;NAV-035;NAV-005;NAV-C5;NAV-028,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,5,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,graphrag,local,none,0,10880,2066,294,2360,FMS-006;SEC-020;FMS-010;FMS-042,FMS-006;FMS-033;FMS-042;FMS-010;INS-048;FMS-007;FMS-001;SEC-020;AUTO-017;BIT-033;DLNK-025;FMS-005;FMS-037;HMI-033;INS-047,15,0,,,,,0.5,1.0,0.6667,1.0,0.1333,4,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,agentic-graph,local,none,0,24980,4290,483,4773,NAV-002;NAV-005;NAV-008,NAV-008;NAV-005;NAV-C5;NAV-028;NAV-002,5,3,continue,semantic,,,0.0,0.0,0.0,0.0,0.0,3,2,1,1-hop,True
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",1-hop,adaptive,local,none,0,8877,854,317,1171,FMS-006;FMS-010;FMS-042,FMS-006;FMS-033;FMS-042;FMS-010;INS-048,5,0,,,vanilla,R5: numeric_hint + single_module (FMS) → top-K,0.3333,0.5,0.4,0.5,0.2,3,2,1,1-hop,True
