query,pipeline,repeat,query_type,orig_gpt41,new_gpt41,new_reason
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",adaptive,2,2-hop,True,True,"Every claim in the answer is supported by FDR-070, including the need to extract 60 min data, check parameters' presence, verify cadence and timestamps, and that the required rate for EMS status is no"
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",agentic-graph,2,2-hop,True,False,"The answer includes additional information not present in the contexts, such as PBIT/airspeed requirements and references to MBIT, which are not supported by the retrieved contexts."
Which endurance-capacity requirement is referenced by the laboratory discharge verification for the 30-minute RTB load profile?,adaptive,1,1-hop,True,True,All claims and references to APM-037 and APM-009 are directly supported by the retrieved contexts.
"If an operator commands an emergency return or diversion, what encryption, authentication, and key-validity conditions must the communications link and secure UHF voice satisfy before execution?",agentic,2,2-hop,False,True,"All claims about authentication, encryption, and key-validity are explicitly supported or carefully scoped to what the retrieved contexts specify."
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",vanilla,2,3+-hop,False,False,The answer references FUEL-010 and provides inferences about traceability paths and feedback mechanisms not explicitly stated in the retrieved contexts.
Does the equipment management system ingest power-subsystem mode/status over the primary avionics bus at a minimum 5 Hz update rate?,graphrag,1,1-hop,False,True,"All claims in the answer are directly supported or reasoned from the retrieved requirements, with no unsupported details added."
How does the command path from the ground station to the flight control computer ensure invalid commands are rejected before reaching the control laws?,adaptive,0,2-hop,True,True,"All claims about FCC input-validation, rejection mechanism, command validation fields, error return, and mode-path protection are directly supported by FCC-031, FCC-040, and FCC-007."
"Which test requirement verifies, by RF-simulator satellite-fault injection, the FDE requirement to detect and exclude an unhealthy satellite within six seconds?",agentic,1,1-hop,True,False,The reference to 'the applicable time-to-alert of GPS-032' adds a specific requirement ID and timing detail not found in the retrieved contexts.
"How does the engine management requirement trace through fuel system behavior to the cockpit indication requirement, and what fuel-related dependency is fed back into that control path?",adaptive,1,3+-hop,True,True,"All claims are supported by the retrieved contexts, matching cited requirements and respecting the absence of cockpit indication details."
"How does the security requirement propagate through built-in test and power into the instrumentation requirement, and what referenced security dependency must also be considered?",vanilla,2,3+-hop,False,False,"The answer infers BIT is within the affected onboard computing environment due to secure boot, but no context explicitly links BIT to secure boot or discusses propagation to instrumentation or power r"
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",agentic-graph,1,3+-hop,True,True,"All claims about SEC-008 being cited by the payload and satisfied downstream by FCC-031, FCC-040, and CDL-013 are directly supported in the contexts."
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",graphrag,2,2-hop,True,True,"All claims in the answer are explicitly supported or appropriately limited by the retrieved contexts, and requirements FDR-070 and EMS-008 are correctly applied without inventing parameter details."
"Which flight-control capability traces through the security and ground-control requirements to ultimately satisfy the aircraft power-management requirement, and what intermediate constraints must be met end-to-end?",adaptive,2,3+-hop,False,True,All claims in the answer are supported by the retrieved contexts and limitations are correctly stated where requirements are not present.
"How is operator-triggered MBIT maintenance on the FCC’s ground Ethernet port authenticated, and under what ground-only conditions is that port enabled?",adaptive,2,2-hop,True,False,"The answer introduces background details (port type, INIT->GROUND constraints, command acceptance paths, lack of MBIT mention) and analysis not directly supported by the requirements."
What verification demonstrates the autoland centreline touchdown accuracy required for AUTOLAND-certified Stratos-7 operations?,adaptive,2,1-hop,True,True,"All claims about the verification method, wind profiles, touchdown accuracy, and CAT I certification are explicitly supported by the contexts."
"During the 60-minute HIL verification, how should you confirm the flight recorder captures the emergency management system status information at the required cadence with valid timestamps?",vanilla,1,2-hop,False,True,"All claims about verification method, parameter list absence, and lack of EMS recorder cadence are supported by FDR-070 and surrounding context."
"In battery-only flight, what SoC data path and update rate support critical-battery RTB, and how does the power subsystem’s SoC monitoring relate to mode-entry constraints?",agentic,0,2-hop,False,True,Every claim is supported: the answer only draws information present in the retrieved contexts and clearly qualifies any detail that is not present.
"When coalition sensor handover control arrives over the tactical datalink, what operator-authenticated engagement constraints apply before the autopilot can enter a commanded mode?",agentic,1,2-hop,False,True,All claims are explicitly supported or directly cited from the retrieved requirement contexts without adding unsupported detail.
How does the FCC’s 1 Hz BIT status reporting drive both FDR health-record storage and the BIT subsystem’s consolidated health-status publication?,vanilla,1,2-hop,True,True,"All claims and requirement references are supported by the retrieved contexts, including the interface rates and downstream functions."
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,2,2-hop,False,True,Every claim is directly supported by the retrieved contexts without unsupported details or misattributions.
What navigation time-synchronization service must the flight data recorder use to timestamp mandatory parameters in UTC at native sampling rates?,graphrag,2,1-hop,True,True,"All claims about the FDR using the NAV Fusion time-synchronisation service at 1 Hz with ≤ 10 µs accuracy, derived from GPS or OCXO, are directly supported in FDR-004 and NAV-027."
"In approach mode, what guidance source must the flight control computer accept, and what deviation data must the FMS provide to support it?",vanilla,1,1-hop,True,True,"All claims are directly supported by the retrieved contexts, including FCC requirement for FMS guidance in approach mode, FMS message fields, update rates, and FMS performance in approach phase."
What higher-level SAR mode requirement traces to the platform mandate for operator authorisation before leaving STANDBY for a transmitting state?,agentic,1,1-hop,True,True,"All claims regarding requirement IDs, tracing, and mandate content are directly supported by the retrieved contexts."
"Which security requirement cited by the payload design is ultimately satisfied by the autonomy function, and where is that same security constraint referenced again downstream?",vanilla,1,3+-hop,False,True,Every claim in the answer is grounded in the retrieved contexts and no unsupported details or requirement IDs are introduced.
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,1,1-hop,False,True,The answer correctly notes that no information is available in the retrieved contexts.
"What flight data recorder requirement ultimately depends on inertial sensor provisions through navigation and GPS traceability, and how does that dependency chain affect recorded positioning data?",adaptive,1,3+-hop,False,True,"Every claim in the answer is directly supported or cautiously inferred from the provided retrieved contexts, without adding extraneous details or citing unlisted requirements."
How do the automated control requirements trace through the radar subsystem dependencies to justify the final referenced automation constraint across the full chain?,graphrag,0,3+-hop,False,True,The answer makes only claims supported by the retrieved contexts and clearly states where information is missing.
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",adaptive,0,3+-hop,False,True,The answer correctly states that the contextual links needed to identify a specific BIT requirement through security and flight-control to power are not present in the retrieved contexts.
"Which communications requirement, linked through the security constraint referenced by the fuel requirement, ultimately traces to the EMS requirement, and what end-to-end dependency does that establish?",agentic-graph,1,3+-hop,False,True,"The answer only discusses requirements and dependencies present in the retrieved contexts and correctly notes the missing links, making no unsupported claims."
Which payload requirement is ultimately satisfied by the security control referenced through the flight-control communication link that fulfills the communication requirement?,agentic-graph,2,3+-hop,False,False,"The answer claims PLD-003 is satisfied, but it introduces trace logic and references to a security control and communication link chain not present in the contexts."
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",adaptive,1,2-hop,False,True,Every claim in the answer is tied strictly to the provided requirements and the answer correctly notes the absence of specific thrust-to-surface coordination logic for Stratos-7.
"When an uplinked flight-plan change is received, what operator-confirmation workflow and full-diff display are required before activation, and what record must be stored afterward?",agentic,0,2-hop,True,True,"All steps, workflows, diff display, and logging requirements are directly supported by the retrieved requirements."
"Which operational modes are defined for the INS, and what preconditions and timing govern transitions between them?",vanilla,1,1-hop,True,True,"All claims about operational modes, preconditions, timing, and IN_FLIGHT_ALIGN details are directly supported by the retrieved contexts."
"How does the two-aircraft live-network separation test demonstrate the coordinated-flight function is supported by guidance accuracy sufficient to meet enroute, terminal, and approach TSE limits?",vanilla,1,2-hop,False,True,The answer only cites claims from the retrieved contexts and accurately distinguishes supported and unsupported links between requirements.
"On Stratos-7, how does the thrust-to-surface coordination logic at high N1 support compliance with the N1 reserve limit during takeoff and emergency power?",vanilla,0,2-hop,True,True,"All the claims in the answer are directly supported by ENG-017 and ENG-030, and the answer correctly avoids introducing details not present in the contexts."
"For the live multi-aircraft separation test, which platform relies on navigation integration instead of an FMS, and what DAL applies to its navigation software?",graphrag,2,2-hop,True,True,All claims about Skyrunner-T1's use of Navigation Integration instead of FMS and its DAL-B level are explicitly stated in the retrieved contexts.
"Which INS-published state elements support the flight data recorder’s mandatory attitude, position, and velocity parameter capture?",agentic,2,1-hop,True,True,"All claims are supported: only the NAV-published state bundle elements are listed, and context explicitly says INS-provided elements are not specified."
"When generator loss is induced on the iron-bird, which loads must drop during the transition to single-generator operation while flight-critical buses stay powered within limits?",adaptive,2,2-hop,False,True,The answer accurately summarizes only claims found in the provided requirements and makes clear where the retrieved contexts are non-explicit.
