query,pipeline,repeat,query_type,judged_on,gemini_faithful,gemini_reason,gemini_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",vanilla,0,1-hop,2026-08-20,True,"All statements and rates regarding APU monitoring, FDR recording, and fault windows are accurately grounded in the retrieved requirements.",1539
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context lacks flight data recording details and only summarizes relevant APU facts directly found in the text.,1465
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag,0,1-hop,2026-08-20,True,"All claims regarding APU exceedance shutdown, FDR recording rates at 1 Hz nominal and 10 Hz fault-window capture, and APM reporting rates are directly supported by the retrieved contexts.",2671
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic-graph,0,1-hop,2026-08-20,True,The answer correctly states that the requested recording rates and fault-window capture requirements are not present in the contexts while accurately referencing the provided requirements.,1214
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",adaptive,0,1-hop,2026-08-20,True,The answer accurately states that the retrieved context lacks flight data recording requirements and only cites facts directly present in the context.,1472
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",vanilla,0,1-hop,2026-08-20,True,All statements and requirement citations are fully supported by the provided context chunks.,1536
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic,0,1-hop,2026-08-20,True,"All claims are strictly supported by FMS-006, SEC-020, and FMS-010 in the retrieved contexts.",2007
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,2026-08-20,True,"All checks, signature requirements, AIRAC expiration thresholds, and fault mode transitions are fully supported by FMS-006, SEC-020, and FMS-010.",2605
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic-graph,0,1-hop,2026-08-20,True,All statements and requirement links in the answer are directly supported by FMS-006 and SEC-020.,1511
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",adaptive,0,1-hop,2026-08-20,True,"All statements regarding the INIT-mode verification checks, signature validation scheme, and requirement relationships are directly supported by the retrieved contexts.",1473
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,vanilla,0,1-hop,2026-08-20,True,All claims and requirement citations are fully supported by the retrieved contexts.,1110
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic,0,1-hop,2026-08-20,True,The answer correctly identifies that the requested fuel-totaling requirement is absent from the context and accurately summarizes the related available ADS requirements.,1988
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,graphrag,0,1-hop,2026-08-20,True,All claims and quoted requirements match the provided contexts accurately.,2432
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic-graph,0,1-hop,2026-08-20,True,The answer correctly identifies that the provided contexts do not contain information regarding fuel-totaling or fuel prediction requirements.,1450
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,0,1-hop,2026-08-20,True,The answer accurately identifies that the retrieved contexts do not contain the requested fuel-totaling requirement and correctly summarizes the unrelated FMS references present.,1533
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,vanilla,0,1-hop,2026-08-20,True,"All claims in the answer are directly supported by LDG-031, LDG-015, and FCC-048.",1585
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic,0,1-hop,2026-08-20,True,"All claims regarding the verification method, test requirements, sensor voting architecture, and FCC interface debounce parameters are fully supported by LDG-031, LDG-015, and FCC-048.",1579
