query,query_type,pipeline,embedder,reranker,repeat,latency_ms,prompt_tokens,completion_tokens,total_tokens,cited_ids,source_ids,n_sources,iter_count,verdict,intent,routed_to,route_reason,answer,judge_gpt5_faithful,judge_gpt5_reason,judge_gpt41_faithful,judge_gpt41_reason,judge_gemini_faithful,judge_gemini_reason,judge_unanimous
What authentication and access conditions must be met to use the INS maintenance port for firmware updates during ground fault-injection testing commanded by BIT?,2-hop,agentic,azure,none,2,15975,5392,524,5916,ICE-019,NAV-035;NAV-026;NAV-002;NAV-030;NBC3-NAV-001;ICE-008;ICE-019;ICE-018;ICE-016;ICE-004;ADS-026;ADS-019;ADS-020;ADS-014;ADS-027,15,3,continue,semantic,,,"The retrieved context does not contain any requirement about an **INS maintenance port**, **firmware updates**, **BIT-commanded ground fault-injection testing**, or the **authentication/access conditions** for such use.

The only authentication-related requirement in the provided context is for the ICE subsystem:
- The ICE subsystem shall accept operator commands from the GCS **with authentication** [ICE-019].

Nothing in the retrieved requirements ties that to INS maintenance access or firmware update authorization. So based on the provided context, the answer is: **not specified here**.",True,The answer correctly states that the provided contexts do not specify INS maintenance-port firmware-update authentication/access conditions and only mention authentication in ICE-019.,True,"All claims are accurate: the retrieved contexts do not mention the INS maintenance port, firmware updates, BIT, or related authentication requirements.",,skipped,True
What verification evidence demonstrates the navigation solution’s 5 ms end-to-end publish-latency requirement at 200 Hz is met?,1-hop,agentic-graph,azure,none,0,16387,4223,576,4799,NAV-010;NAV-034;NAV-035;NAV-027,NAV-010;NAV-006;NAV-034;NAV-035;NAV-027,5,3,continue,semantic,,,"The retrieved requirements do not contain a 5 ms end-to-end publish-latency requirement at 200 Hz, so I cannot identify matching verification evidence from this context.

What the context does contain is:

- NAV publishes the aircraft-state bundle at 50 Hz, with transport latency not exceeding 15 ms from the underlying sensor measurement [NAV-010].
- A verification requirement exists for NAV accuracy in HYBRID mode via 20 flight-test missions [NAV-034].
- A verification requirement exists for a HYBRID→INS_ONLY transition timing case via HIL, within 200 ms of the 60 s threshold [NAV-035].
- A time-synchronisation service is provided at 1 Hz with ≤ 10 µs accuracy [NAV-027].

So, based on the retrieved set, there is no evidence shown for:
- 200 Hz publication,
- 5 ms end-to-end latency, or
- a test/analysis requirement verifying that latency target.

Closest related requirement is [NAV-010], but it specifies 50 Hz and ≤ 15 ms, not 200 Hz and 5 ms [NAV-010].",True,The answer correctly states the contexts lack any 200 Hz/5 ms latency requirement or matching verification evidence and accurately summarizes the provided items.,True,All claims and summary statements are based strictly on the content and limitations of the retrieved contexts.,,skipped,True
How does the secure data-link implementation satisfy the automation-level requirement while propagating referenced constraints through automation behavior to the radar subsystem?,3+-hop,vanilla,azure,none,0,9862,610,521,1131,RADAR-025;RADAR-017;CDL-004;SEC-014;CDL-001,RADAR-025;RADAR-017;CDL-004;SEC-014;CDL-001,5,0,,,,,"From the retrieved set, the secure data-link side is constrained by a defence-in-depth architecture and assurance baseline, while the automation-level behavior that reaches radar is realized through the DAA/EOIR-to-radar coupling.

- The secure data-link implementation is required to isolate the internet-facing BLOS CDL from internal avionics using a dedicated security-partition guard that enforces allowed command types by RBAC and flight phase [SEC-014].  
- The CDL baseline also requires DO-178C DAL-B software, DO-254 Level B RF hardware, and cyber-security assurance per DO-326A/DO-356A at DAL-B [CDL-001], with governing references including DO-362, DO-326A, and DO-356A [CDL-004].

For the automation-level requirement propagation to radar:

- The radar subsystem must support DAA resolution-advisory integration by coupling with the EOIR/DAA computer, and this coupling provides AGL validation for terrain-avoidance resolution manoeuvres per `##AUTO.AUTO-020` [RADAR-017].
- Verification is by HIL injection of intruder profiles from the EOIR/DAA path, demonstrating timely RA AGL cross-check and appropriate resolution-advisory arming to AUTO per `##AUTO.AUTO-020` [RADAR-025].

So, based on the retrieved requirements, the chain is:

1. Secure CDL ingress is controlled and partitioned before reaching internal avionics [SEC-014].  
2. Those implementation and assurance constraints are defined for the CDL platform and references [CDL-001] [CDL-004].  
3. Automation behavior relevant to DAA resolution advisories is then propagated through the EOIR/DAA path into the radar altimeter coupling, where radar contributes AGL validation for manoeuvre logic required by `##AUTO.AUTO-020` [RADAR-017].  
4. That end behavior is verified in HIL, including AUTO arming and RA AGL cross-check [RADAR-025].

What the retrieved context does not contain is the text of `##AUTO.AUTO-020` itself, nor any explicit requirement that directly traces secure CDL commands into that automation requirement. Therefore I can state the interface/propagation path and security constraints above, but I cannot prove from this context alone exactly how the secure data-link “satisfies” `##AUTO.AUTO-020` beyond the fact that radar coupling is defined as satisfying it [RADAR-017] and verified against it [RADAR-025].",True,All claims are supported by the cited contexts or explicitly framed as absent from the retrieved evidence.,False,The answer makes inferences about how secure data-link implementation satisfies automation requirements; the retrieved contexts do not state this chain explicitly.,,skipped,False
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,1-hop,agentic-graph,azure,none,1,14518,4196,484,4680,STR-008;EMS-020;STR-002,EMS-020;FCC-030;FMS-031;HMI-045;STR-002,5,3,continue,semantic,,,"The retrieved requirements only specify the trigger indirectly:

- EMS reduces manoeuvre rate and asserts `STRUCTURAL_EXCEEDANCE` when it detects a **structural-envelope exceedance**, defined as **load factor beyond `##STR.STR-008` limit sustained > 500 ms** [EMS-020].

However, the actual **structural limit-load envelope values/thresholds** are **not present in the provided context**. [STR-002] indicates structural load-envelope definitions belong in the STR module, but the specific `STR-008` requirement is not included [STR-002].

So, from the retrieved context, the answer is:

- **Trigger:** load factor beyond the `##STR.STR-008` limit for **> 500 ms** [EMS-020].
- **Missing detail:** the numeric/content definition of that limit-load envelope is **not available here**.",True,"All claims are supported by EMS-020 and STR-002, and it correctly notes that STR-008 itself is not provided.",True,All claims are strictly supported by the retrieved context and accurately restate requirement EMS-020 and STR-002 without inventing missing values.,,skipped,True
"For loss of INS with no valid GPS/barometric fallback, what autonomous emergency transition and priority-tagged GCS mode-change notification are required?",2-hop,graphrag,azure,none,2,6559,1581,312,1893,FCC-009;INS-013;EMS-010;NAV-007;FCC-017;GPS-008;GCS-007;GPS-007;AUTO-009;AUTO-022;CDL-031;EMS-001;EMS-005;EMS-006;EMS-033,FCC-009;INS-013;EMS-010;NAV-007;FCC-017;GPS-008;GCS-007;GPS-007;AUTO-009;AUTO-022;CDL-031;EMS-001;EMS-005;EMS-006;EMS-033,15,0,,,,,"If there is a **loss of valid INS data for ≥ 500 ms with no GPS/barometric fallback valid**, the **FCC shall autonomously transition to EMERGENCY mode within 50 ms** [FCC-009].

That EMERGENCY condition is also propagated through EMS: the **EMS shall transition to EMERGENCY on any of the conditions listed in FCC-009** [EMS-006], and the EMS priority table classifies **“INS loss + no GPS” as P1**, with autonomous action **“transition to EMERGENCY (FCC-009)”** [EMS-033].

For notification, the **EMS shall notify the GCS of any mode change within 200 ms via the CDL telemetry, tagged P1 priority** [EMS-010]. The CDL return link transmits telemetry at **20 Hz** [CDL-031].

So, in summary:
- **Trigger:** loss of valid INS data for **≥ 500 ms** with **no GPS/barometric fallback valid** [FCC-009]
- **Autonomous transition:** FCC to **EMERGENCY within 50 ms** [FCC-009]
- **EMS coordination:** EMS also enters **EMERGENCY** for that FCC-009 condition [EMS-006]
- **GCS notification:** mode change sent to GCS within **200 ms**, via CDL telemetry, **tagged P1** [EMS-010]
- **Priority classification:** **P1** for **INS loss + no GPS** [EMS-033]",True,"All claims are supported by the cited contexts, with CDL-031 only adding the stated 20 Hz return-link transmission rate.",True,All claims in the answer are directly supported and referenced from the retrieved contexts.,,skipped,True
"Which built-in test requirement is ultimately driven by the power requirement through the linked security and flight-control requirements, and what end-to-end rationale connects them?",3+-hop,vanilla,azure,none,0,9536,529,526,1055,BIT-001;SEC-035;SEC-014;FCC-055;SKT1-FCC-001,BIT-001;SEC-035;SEC-014;FCC-055;SKT1-FCC-001,5,0,,,,,"From the provided context, the built-in test requirement implicated is the **BIT document purpose/development assurance requirement**: BIT software is defined by the BIT requirements set and must be developed at **DO-178C DAL-B** on all platforms, with **DAL-A portions** where BIT feeds DAL-A safety functions [BIT-001].

However, the specific **power requirement** itself is **not present** in the retrieved context. We only have an indirect reference to it:

- On Skyrunner-T1, the FCC uses a **common power feed via the essential bus per `##PWR.PWR-020`** [SKT1-FCC-001].
- FCC power interruption robustness is tied to **FCC-036**, verified by **DO-160G §16 Category Z** at **10, 25, 50, and 75 ms** interruptions [FCC-055].
- Security requires **power-on verification** of installed software CRC/hash against an authenticated baseline for all flight-critical LRUs [SEC-035].
- BIT is the health-management domain and is safety-relevant at **DAL-B / DAL-A where applicable** [BIT-001].

So, the best-supported end-to-end rationale from the retrieved requirements is:

1. **Power architecture drives FCC behavior**: the FCC is powered from the essential bus via `PWR-020` [SKT1-FCC-001], and its ride-through capability is explicitly tested for interruptions up to **50 ms** under **DO-160G §16 Category Z** [FCC-055].
2. **If power is interrupted/reapplied**, flight-critical LRUs must perform **authenticated software integrity verification at power-on** [SEC-035].
3. Because BIT is the system function concerned with **test/health management**, and because it can feed safety functions at **DAL-A** on some platforms, the BIT implementation must be assurance-qualified accordingly [BIT-001].
4. Therefore, the BIT requirement ultimately driven through this chain is the need for **BIT software/health-management behavior to support safety-qualified startup and fault reporting consistent with power-cycle and integrity-verification behavior** [BIT-001][SEC-035][FCC-055][SKT1-FCC-001].

Plainly: the retrieved context supports a **rationale chain**, but it does **not** contain a more specific BIT requirement beyond [BIT-001]. It also does not include the text of **`PWR-020`** or **FCC-036**, so I cannot identify a narrower built-in test requirement without inventing.",False,The answer adds unsupported details about BIT startup/fault-reporting behavior and a causal chain not stated in the retrieved contexts.,True,All claims are directly supported by the retrieved contexts and clearly indicate when specific requirement details are not present.,,skipped,False
Which navigation requirement is ultimately supported by the security control satisfied by the GPS timing-reference requirement cited by the higher-level GPS requirement?,3+-hop,graphrag,azure,none,0,6663,1502,229,1731,SEC-028;INS-037;GPS-029;COMM-018;GPS-010;FDR-022;DLNK-007;GPS-006;CDL-024;COMM-029;DLNK-022;EMS-021;EMS-033;FCC-034;GPS-009,SEC-028;INS-037;GPS-029;COMM-018;GPS-010;FDR-022;DLNK-007;GPS-006;CDL-024;COMM-029;DLNK-022;EMS-021;EMS-033;FCC-034;GPS-009,15,0,,,,,"The chain present in the retrieved context is:

- [GPS-010] states the GNSS receiver shall output UTC time and says it is provided to downstream systems including [INS-037] and [FCC-034].
- [INS-037] states the INS time-reference output is synchronised to UTC via GPS time, and it explicitly **satisfies [FCC-034]**.
- [SEC-028] is the security control in question; it is **satisfied by [GPS.GPS-022]** and also by **[NAV.NAV-028]**.

However, the retrieved context does **not** include:
- the higher-level GPS requirement that cites [GPS-010],
- [GPS-022], or
- the text of [NAV-028].

So, based on the available requirements, I can only say that the relevant navigation requirement is **[NAV-028]**, because [SEC-028] lists it in its satisfaction links [SEC-028]. The context does not contain the content of [NAV-028], so I cannot state what that navigation requirement says.",False,The answer adds unsupported claims about a higher-level GPS requirement citing GPS-010 and misstates support links by saying SEC-028 is satisfied by GPS-022/NAV-028 rather than satisfying them.,True,Every claim about the requirement links and missing information matches the retrieved contexts without adding unsupported details.,,skipped,False
How are authenticated operator mode-change commands from the ground station routed through the data link to engage autopilot modes requiring explicit operator authorization?,2-hop,graphrag,azure,none,0,8509,1755,419,2174,AUTO-006;AUTO-007;PLD-006;AUTO-008;AUTO-034;AUTO-005;FCC-011;FCC-007;AUTO-001;AUTO-020;AUTO-022;CDL-030;DLNK-009;EMS-030;FCC-005,AUTO-006;AUTO-007;PLD-006;AUTO-008;AUTO-034;AUTO-005;FCC-011;FCC-007;AUTO-001;AUTO-020;AUTO-022;CDL-030;DLNK-009;EMS-030;FCC-005,15,0,,,,,"Authenticated operator mode-change commands are routed as follows, based on the retrieved requirements:

1. The ground-side command enters through the command/data link:
   - The CDL receives command frames from the GCS at up to 20 Hz and dispatches them to the Autopilot according to the command-routing table [CDL-030].

2. An alternate tactical datalink path also exists for control messages:
   - The DLNK terminal routes J12.x control messages to the Autopilot [DLNK-009].

3. For Autopilot modes, explicit operator engagement is required for every mode except DAA RESOLUTION and RTB [AUTO-006].
   - DAA RESOLUTION may engage autonomously per [AUTO-020].
   - RTB may engage autonomously on lost link per [AUTO-022].

4. The operator engagement request must be authenticated per SEC-010 [AUTO-006].
   - The Autopilot command interface carries authentication material in `AP_Command_Msg`, specifically `seq_num` and `auth_tag`, with `auth_tag` defined as HMAC-SHA256 trunc per SEC-010 [AUTO-034].

5. The FCC enforces acceptance of external mode-change requests only when cryptographically authenticated per SEC-010 and received with a valid sequence number not reused within the current flight [FCC-011].

So, in system terms: operator mode-change commands originate at the GCS, are carried via the CDL to the Autopilot [CDL-030] or via DLNK J12.x to the Autopilot [DLNK-009], and for modes requiring operator authorization, the Autopilot requires explicit authenticated engagement [AUTO-006] using the authenticated command fields defined in `AP_Command_Msg` [AUTO-034]. The FCC then accepts the external mode-change request only if the authentication and sequence-number checks pass [FCC-011].

What the retrieved context does not specify is the exact internal hop-by-hop sequence between Autopilot receipt and FCC actuation beyond those interface and acceptance constraints.",False,"The answer adds unsupported routing details, including a CDL path directly to the Autopilot and use of AP_Command_Msg for operator engagement requests, which the contexts do not establish.",True,"All claims about command routing, authentication, operator engagement, and referenced interfaces are directly supported by the retrieved contexts.",,skipped,False
"During standby-to-coarse-align motion rejection, what operator alignment-status indication is required on the HMI?",1-hop,agentic-graph,azure,none,2,17710,4213,487,4700,INS-006;HMI-070,HMI-070;INS-006;HMI-120;HMI-050;GCS-007,5,3,continue,semantic,,,"During a STANDBY → COARSE_ALIGN transition rejection due to motion, the INS must annunciate **MOTION_DETECTED** to the operator via the HMI [INS-006]. Separately, the HMI must display **INS-alignment status**, including **mode**, **alignment percent-complete**, and **time-to-ready estimate** [HMI-070].

So the required operator indication on the HMI is:
- a **MOTION_DETECTED annunciation** for the rejection event [INS-006], and
- the normal **alignment-status display** showing **mode, percent-complete, and time-to-ready estimate** [HMI-070].

The retrieved requirements do **not** further specify the exact visual format, priority, or wording beyond **MOTION_DETECTED** and the listed status fields [INS-006] [HMI-070].",True,"All claims are supported by INS-006 and HMI-070, and the note about unspecified format is consistent with the provided contexts.",True,All claims are directly supported by [INS-006] and [HMI-070] without adding unsupported detail.,,skipped,True
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",1-hop,graphrag,azure,none,1,8310,1560,361,1921,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,FDR-030;APM-023;APM-008;FMS-010;ENG-009;ENG-036;APM-007;EPS-011;APM-030;APM-036;AUTO-022;BIT-025;ENG-040;ENG-043;EPS-024,15,0,,,,,"When the APM detects an APU exceedance, it must shut down the APU per the enforced limits in the APU_Limits table [APM-036]. APM-023 also requires that this exceedance/shutdown event be logged to the FDR via FDR-030 [APM-023].

For flight data recording, the FDR must record the APM battery and APU data at:

- 1 Hz nominal, and
- 10 Hz for 60 s before and 60 s after any APM fault transition [FDR-030].

The interaction is:

- The APM monitors APU health parameters at 5 Hz: N1 RPM, EGT, and oil pressure [APM-023].
- If an exceedance meets the shutdown criteria in APU_Limits, the APM commands APU shutdown [APM-036][APM-023].
- That event is logged to the FDR [APM-023], and the FDR applies the elevated capture rate and fault window around the APM fault transition: 10 Hz from 60 s before through 60 s after the transition [FDR-030].

Additionally, APM-reported battery telemetry to the FDR includes battery temperatures, SoC, cell-imbalance, and any fault word at 1 Hz, with cell-level detail at 0.1 Hz [APM-030]. The retrieved requirements do not explicitly state whether the APU exceedance itself constitutes an “APM fault transition” unless the APM also enters FAULT, so I can only say with certainty that the 10 Hz ±60 s window is required for any APM fault transition as written in FDR-030 [FDR-030].",False,"The answer adds unsupported details by asserting the FDR applies the 10 Hz ±60 s window to this exceedance/shutdown event, which the contexts only require for an APM fault transition.",True,"All claims about rates, fault window, parameters monitored, and requirement IDs are directly supported or cautiously inferred from the retrieved contexts.",,skipped,False
