query,pipeline,repeat,query_type,judged_on,gpt41_faithful,gpt41_reason,gpt41_tokens
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",vanilla,0,1-hop,2026-08-16,True,"All claims about logging rates, fault-window, and event recording are directly supported by APM-023 and FDR-030; no unsupported details are added.",1037
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic,0,1-hop,2026-08-16,True,All claims are supported: the retrieved contexts do not specify flight data recording or fault-window requirements and the answer correctly does not assert any unsupported details.,1010
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",graphrag,0,1-hop,2026-08-16,True,"All claims are explicitly grounded in the retrieved contexts, with requirement IDs and data rates matching the source material.",2230
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",agentic-graph,0,1-hop,2026-08-16,True,"Every claim in the answer is directly supported by the retrieved contexts, and no additional information is introduced.",1445
"When the power module detects an APU exceedance and commands shutdown, what flight data recording rates and fault-window capture are required?",adaptive,0,1-hop,2026-08-16,True,"The answer accurately summarizes and directly cites only information present in the retrieved requirements, and does not make unsupported claims.",1014
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",vanilla,0,1-hop,2026-08-16,True,"All claims about signed-manifest and signature-validation checks are expressly supported by the retrieved requirements, and additional claims are appropriately caveated as not explicit in the contexts",1233
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic,0,1-hop,2026-08-16,True,The answer correctly states that the retrieved contexts do not specify any signed-manifest or signature-validation checks for database acceptance in INIT mode.,738
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",graphrag,0,1-hop,2026-08-16,True,"All claims about CRC verification, AIRAC expiry check, and digital-signature validation are supported by FMS-006 and SEC-020; related mode and test effects are directly grounded in FMS-010 and FMS-042",2362
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",agentic-graph,0,1-hop,2026-08-16,True,"All factual claims in the answer are supported by the retrieved contexts, which do not specify any signed-manifest or signature-validation checks or INIT mode FMS database behavior.",854
"In INIT mode, what signed-manifest and signature-validation checks must the FMS apply before accepting a navigation database revision?",adaptive,0,1-hop,2026-08-16,True,"All claims in the answer are directly supported by the retrieved contexts, including CRC and AIRAC checks, handling of signature failures, and absence of explicit signature-validation method details.",1249
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,vanilla,0,1-hop,2026-08-16,False,"The answer references and speculates about FUEL-010 without its content in the contexts, which is unsupported.",884
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic,0,1-hop,2026-08-16,True,The answer accurately reflects that the provided contexts contain no information about fuel-totaling or its feeding of flight management fuel predictions or alerts.,1894
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,graphrag,0,1-hop,2026-08-16,True,"[FUEL-011] describes computing and providing total fuel remaining for FMS fuel prediction per [FMS-018], which covers the required destination/alternate/minimum-fuel predictions.",1566
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,agentic-graph,0,1-hop,2026-08-16,True,All claims are supported; the contexts do not mention any fuel-totaling requirement or its connection to FMS fuel predictions or alerts.,2255
Which fuel-totaling requirement feeds the flight management function that computes destination and alternate fuel predictions and minimum-fuel alerts?,adaptive,0,1-hop,2026-08-16,True,"All claims in the answer are supported by and accurately reference the retrieved requirement contexts, with correct attributions and quotes.",971
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,vanilla,0,1-hop,2026-08-16,True,All claims regarding verification by fault injection and voting logic are directly supported by LDG-031 and LDG-015.,772
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic,0,1-hop,2026-08-16,False,The claim about FCC’s 100 ms debounce period is not supported as a verification step for the WoW dual-sensor architecture; only LDG-031 addresses verification by fault injection and voting.,1015
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,graphrag,0,1-hop,2026-08-16,True,"All claims are supported directly by LDG-031, LDG-015, and FCC-048 in the retrieved contexts.",1536
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,agentic-graph,0,1-hop,2026-08-16,True,"All claims about verification, dual-sensor voting, WoW output, FCC consumption, and test requirements are directly supported by the retrieved contexts.",988
How is the landing weight-on-wheels dual-sensor/voting architecture verified to ensure correct discrete output under a single-sensor fault?,adaptive,0,1-hop,2026-08-16,True,"All claims are explicitly supported by the retrieved contexts regarding fault injection, dual-redundant sensors, 2-out-of-3 voting, and correct WoW discrete output.",1017
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,vanilla,0,1-hop,2026-08-16,True,"All claims about the hardware-protected mechanism (HSM or secure-element), software-extraction constraint, and role-based access control are explicitly supported by SEC-005 and SEC-017.",1165
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic,0,1-hop,2026-08-16,True,The answer accurately reflects that no factual claims can be supported due to a lack of retrieved contexts.,347
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,graphrag,0,1-hop,2026-08-16,True,All claims—including HSM or secure-element storage and software non-extractability—are directly supported by SEC-005 and the Crypto_Selections table in SEC-017.,2030
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,agentic-graph,0,1-hop,2026-08-16,True,The answer correctly states that no claims can be made without retrieved requirements contexts.,344
What hardware-protected mechanism and software-extraction constraint apply to the AES-256 key-wrapping storage method specified in the crypto selection table?,adaptive,0,1-hop,2026-08-16,True,All claims about the hardware mechanism (HSM/secure element) and the software extraction constraint are supported by SEC-017 and SEC-005.,1134
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,vanilla,0,1-hop,2026-08-16,True,"Every claim in the answer is explicitly supported by the retrieved SAR requirements concerning INS-derived position and attitude updates at ≥ 100 Hz and geolocation accuracy, and correctly notes absen",873
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic,0,1-hop,2026-08-16,True,"Every claim in the answer is directly supported by the retrieved contexts, with no unsupported information added.",900
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,graphrag,0,1-hop,2026-08-16,True,"All claims about INS_STATE_MSG content, timing, latency, SAR update rate, and GPS aiding accuracy are explicitly supported in the retrieved contexts.",1646
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,agentic-graph,0,1-hop,2026-08-16,True,"All claims about published data types, rates, formats, and timing are directly supported by NAV-010 and NAV-020, and the answer correctly notes the absence of explicit SAR/geolocation references.",836
Which published inertial navigation state data and timing are required to support SAR motion compensation and absolute geolocation accuracy?,adaptive,0,1-hop,2026-08-16,True,"All claims in the answer are directly supported by SAR-013 and SAR-009, and limitations regarding unspecified details are clearly acknowledged.",837
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,vanilla,0,1-hop,2026-08-16,True,All factual claims in the answer are directly supported by FCC-023 and other retrieved contexts.,874
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic,0,1-hop,2026-08-16,False,"The claim that FCC-023 'explicitly satisfies the emergency-management coordinated emergency-entry requirement' is not directly supported; the contexts say FCC-023 satisfies EMS-006, but do not confirm",1652
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,graphrag,0,1-hop,2026-08-16,True,"All claims in the answer are traceably grounded in FCC-023, EMS-006, and FCC-010 from the contexts, and the answer correctly notes the lack of FCC-009 content.",1707
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,agentic-graph,0,1-hop,2026-08-16,True,"All claims are supported by the retrieved contexts, including fault detection thresholds, actuator disengagement timing, fault recovery mapping, escalation to EMS, and EMERGENCY mode entry actions.",2508
Which flight-control runaway-actuator fault response satisfies the emergency-management requirement for coordinated emergency mode entry?,adaptive,0,1-hop,2026-08-16,True,"All claims in the answer are explicitly supported by the retrieved contexts, including the connection between FCC-023 and EMS-006, the runaway detection/isolation logic, EMERGENCY transition, and coor",1665
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",vanilla,0,1-hop,2026-08-16,True,"All verification details on emergency-mode entry, transition timing, and operator annunciation are stated in EMS-034.",763
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic,0,1-hop,2026-08-16,True,"All claims about HIL fault-injection testing, mode transition within 50 ms, operator annunciation within 500 ms, and verification of emergency-mode entry latency are directly supported by EMS-034.",1276
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",graphrag,0,1-hop,2026-08-16,True,"All claims about verification by fault-injection, timing, annunciation, requirement numbers, and triggering faults are directly supported by EMS-034, EMS-006, and FCC-009 in the retrieved contexts.",1903
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",agentic-graph,0,1-hop,2026-08-16,True,"All claims map directly to information in the retrieved contexts, principally EMS-034, PWR-033, and EPS-024.",892
"What verification demonstrates emergency-mode entry on each triggering fault, including transition timing and operator annunciation performance?",adaptive,0,1-hop,2026-08-16,True,"All claims about verification by fault-injection, timing requirements for mode transition and operator annunciation, and the specific reference to EMS-034 are directly supported by the retrieved conte",789
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,vanilla,0,1-hop,2026-08-16,True,All claims are directly supported by EMS-020 and STR-002 without adding unsupported details.,886
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic,0,1-hop,2026-08-16,True,All factual claims are directly supported by the retrieved contexts.,1083
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,graphrag,0,1-hop,2026-08-16,True,"All claims regarding trigger, limit values, tables, actions, and priority are directly supported by the retrieved contexts.",1969
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,agentic-graph,0,1-hop,2026-08-16,True,"All claims about the trigger condition, EMS actions, notification flag, and table priorities are explicitly supported by the retrieved contexts.",889
What structural limit-load envelope exceedance drives the EMS to reduce manoeuvre rate and assert the structural exceedance flag?,adaptive,0,1-hop,2026-08-16,True,All statements are grounded in the retrieved EMS-020 and EMS-033 contexts; the absence of numeric limits is correctly noted as not present.,891
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,vanilla,0,1-hop,2026-08-16,True,"All claims are directly supported by GCS-010, which explicitly states it satisfies FDR.FDR-045 and details data fields and retention requirements for operator actions.",1163
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic,0,1-hop,2026-08-16,True,All claims in the answer are cautious and accurately reflect what is and is not present in the retrieved requirements.,2182
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,graphrag,0,1-hop,2026-08-16,True,"All claims are directly supported by GCS-010, FDR-045, and FCC-012, and no extra details are added beyond the retrieved contexts.",2173
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,agentic-graph,0,1-hop,2026-08-16,True,The answer accurately states that the necessary FDR and GCS audit/retention requirements are missing from the retrieved contexts and avoids unsupported claims.,1470
How is the flight data recorder’s operator-action logging requirement satisfied by the ground control station’s audit trail and retention provisions?,adaptive,0,1-hop,2026-08-16,True,"All claims about FDR-045 and GCS-010, including audit trail content and retention, are directly supported by the retrieved contexts.",2133
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,vanilla,0,1-hop,2026-08-16,True,"All factual claims, including HMI-020's requirements and the FCC notification linkage, are directly supported by the retrieved contexts.",769
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic,0,1-hop,2026-08-16,True,"All claims about HMI-020's ENGINE_OUT behavior, voice/visual cues, failed engine ID, rudder-trim display, and linkage to ##ALX2-FCC-003 are directly supported by the contexts.",750
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,graphrag,0,1-hop,2026-08-16,True,All claims about HMI-020 and its linkage to ALX2-FCC-003 and ENG-018 are supported by the retrieved contexts.,1477
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,agentic-graph,0,1-hop,2026-08-16,True,"All claims in the answer are directly supported by [HMI-020], which describes HMI annunciation and displays for FCC single-engine-out detection on AeroLynx-X2, referencing ##ALX2-FCC-003.",774
Which HMI requirement implements the flight control single-engine-out detection and automatic rudder-trim alerting behavior for operator notification?,adaptive,0,1-hop,2026-08-16,True,"All claims about HMI-020 implementing operator notification, annunciation details, satisfaction of ALX2-FCC-003, and related ENG-018 logic are supported in the retrieved contexts.",1497
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",vanilla,0,1-hop,2026-08-16,True,Every claim is directly supported or quoted from the retrieved contexts without adding unsupported details.,834
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic,0,1-hop,2026-08-16,True,The answer correctly states that no claims about the FCC lane architecture can be made due to absence of retrieved contexts.,338
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",graphrag,0,1-hop,2026-08-16,True,All claims accurately reflect the retrieved contexts and do not add unsupported specifics about the Nimbus-C3 FCC lane architecture.,1731
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",agentic-graph,0,1-hop,2026-08-16,True,The answer accurately reflects that there are no contexts retrieved and does not make unsupported claims.,323
"For the Nimbus-C3 external cargo pod interface, what FCC lane architecture is the PMC’s MIL-STD-1760 umbilical implementation referencing?",adaptive,0,1-hop,2026-08-16,True,"All claims are directly supported by the retrieved contexts, with no additional details or unsupported requirement IDs introduced.",839
